"answer","question","subject","option1","option2","option3","option4","explanation"
"Anduril","What is the name of the reforged sword from the shards of Narsil, carried by Aragorn as the King of Gondor?","Lord Of The Rings","Ulmo","Valinor","Narsil","Anduril","Anduril is the reforged sword carried by Aragorn."
"Anórien","What is the name of the region of Gondor that lies east of the White Mountains and is known for its fertile plains and farmlands?","Lord Of The Rings","Anórien","Battle of Pelennor","Beregond","Bill Ferny","Anórien is a prominent Gondorian region."
"Aragorn","Which character is also known as Strider?","Lord Of The Rings","Frodo Baggins","Aragorn","Gandalf","Legolas","Aragorn is also known as Strider in the story."
"The Sword of Aragorn","What is the name of the sword that Aragorn, also known as Strider, wields as the rightful heir to the throne of Gondor?","Lord Of The Rings","Gimli's Helmet","The Horn of Helm Hammerhand","Smeagol's Precious","The Sword of Aragorn","Aragorn wields the Sword of Aragorn."
"Arwen","Who is the half-elf princess of Rivendell and the love interest of Aragorn?","Lord Of The Rings","Elendil","Arwen","Frodo's Journal","Smeagol","Arwen is the half-elf princess and Aragorn's love interest."
"Evenstar Necklace","What beautiful and symbolic pendant does Aragorn give to Arwen as a token of his love?","Lord Of The Rings","Cloak of Invisibility","Evenstar Pendant","The Horn of Boromir","The Scroll of Isildur","Arwen receives an Evenstar Pendant as a token of love."
"Aulë","Which Valar is known as the Smith and the creator of the Dwarves in 'The Silmarillion'?","Lord Of The Rings","Aulë","Glóin","Bifur","Manwe","Aulë is known as the Smith and creator of the Dwarves in 'The Silmarillion.'"
"Manwe","Who is the King of the Valar and the chief of the Ainur in 'The Silmarillion'?","Lord Of The Rings","Aulë","Glóin","Bifur","Manwe","Manwe is the King of the Valar in 'The Silmarillion.'"
"Bag End","What is the name of Bilbo and Frodo Baggins' residence in the Shire?","Lord Of The Rings","Rivendell","Bag End","Hobbiton","Minas Tirith","Bag End is the residence of Bilbo and Frodo Baggins."
"Barad-dûr","What is the name of Sauron's dark fortress?","Lord Of The Rings","Rivendell","Mordor","Minas Tirith","Hobbiton","Barad-dûr is Sauron's dark fortress."
"Beorn","Who is the shape-shifting and reclusive skin-changer encountered by Bilbo and the dwarves?","Lord Of The Rings","Beorn","Grima Wormtongue","Eowyn's Shieldmaiden Armor","The Mouth of Sauron","Beorn is the shape-shifting skin-changer encountered."
"Beregond","Who is a loyal soldier and guard of Minas Tirith, and he becomes a trusted friend of Pippin Took, even saving Faramir's life during the battle?","Lord Of The Rings","Beregond","Bill Ferny","Bree","Buckland","Beregond is a valiant character in Gondor."
"Bifur","Which dwarf from Thorin Oakenshield's company shares a similar name with his cousins Bofur and Bombur?","Lord Of The Rings","The Prancing Pony Innkeeper","Glóin","Bifur","Bofur","Bifur shares a similar name with his cousins."
"Bilbo Baggins","Which hobbit is known for his long life and adventure with the dwarves and later passes the One Ring to Frodo?","Lord Of The Rings","Boromir","Theoden","Shelob","Gondor","Bilbo Baggins is known for his adventures and passing the One Ring to Frodo."
"Bill Ferny","What is the name of a disreputable character in 'The Lord of the Rings' who is involved in shady dealings and has a brief encounter with Frodo and the other Hobbits in Bree?","Lord Of The Rings","Bill Ferny","Bree","Buckland","Dagorlad","Bill Ferny is known for his unsavory actions."
"Bill the Pony","What is the name of the reliable and overlooked pony that carries supplies for the Fellowship?","Lord Of The Rings","Ulmo","Valinor","Bill the Pony","The Watcher in the Water","Bill the Pony is the reliable pony of the Fellowship."
"Bofur","Which dwarf from Thorin Oakenshield's company shares a similar name with his cousins Bifur and Bombur?","Lord Of The Rings","The Prancing Pony Innkeeper","Glóin","Bifur","Bofur","Bofur shares a similar name with his cousins."
"Bolg","Who is the son of Azog the Defiler and takes command of the Orcs after Azog's death?","Lord Of The Rings","Bolg","Goblin King","Azog Jr.","Orc Leader","Bolg is the son of Azog the Defiler and takes command of the Orcs after Azog's death."
"Boromir","Which member of the Fellowship of the Ring hails from the city of Gondor?","Lord Of The Rings","Theoden","Shelob","Gondor","Boromir","Boromir is from the city of Gondor."
"The Horn of Boromir","What valuable item, carried by Boromir, is blown as a call for aid before his demise?","Lord Of The Rings","Cloak of Invisibility","Evenstar Pendant","The Horn of Boromir","The Scroll of Isildur","Boromir uses the Horn of Boromir to call for aid."
"Brandy Hall","Which location is known as the main residence of the Brandybuck family, one of the wealthiest and most influential families in the Shire?","Lord Of The Rings","Brandy Hall","The Old Forest","The Barrow-downs","The Bucklebury Ferry","Brandy Hall is a prominent location in the Shire."
"Bree","What is the name of the town where Frodo and his companions, including Aragorn, first meet and stay briefly before embarking on their journey to Rivendell?","Lord Of The Rings","Bree","Buckland","Dagorlad","Emyn Muil","Bree is an important starting point in the story."
"Buckland","What is the name of the region in 'The Lord of the Rings' that lies east of the Shire, known for its wooded landscape and the home of the Brandybuck family, including Merry (Meriadoc Brandybuck)?","Lord Of The Rings","Buckland","Dagorlad","Emyn Muil","Fangorn","Buckland is associated with the Brandybucks."
"Cloak of Invisibility","What magical item, given to Frodo by Galadriel, allows its wearer to become invisible?","Lord Of The Rings","Cloak of Invisibility","Evenstar Pendant","The Horn of Boromir","The Scroll of Isildur","The Cloak of Invisibility makes the wearer invisible."
"Dagorlad","What is the name of the vast, open plain located just outside the Black Gate of Mordor, where the Last Alliance of Elves and Men fought against Sauron's forces?","Lord Of The Rings","Dagorlad","Emyn Muil","Fangorn","Forlindon","Dagorlad is a historic battlefield."
"Dáin Ironfoot","Who ascends to the throne as the King under the Mountain and ruler of Erebor following the passing of Thorin Oakenshield?","Lord Of The Rings","Borin","Thrain II","Durin IV","Gloin III","Dáin Ironfoot assumes leadership in Erebor."
"Dale","Which town located near the Lonely Mountain is rebuilt after the defeat of Smaug?","Lord Of The Rings","Boromir","Theoden","Shelob","Gondor","Dale is rebuilt near the Lonely Mountain."
"Denethor","Who is the Steward of Gondor and father of Boromir and Faramir?","Lord Of The Rings","Balrog","Galadriel","Saruman","Eowyn","Denethor is the Steward of Gondor and the father of Boromir and Faramir."
"Dori","Which Dwarf from Thorin Oakenshield's company is known for his strong sense of responsibility and takes care of the other Dwarves?","Lord Of The Rings","Oin","Nori","Dori","Phial of Galadriel","Dori is responsible and cares for the Dwarves."
"Durin III","Who is the Dwarf King of Khazad-dûm and the third king of Durin's Folk?","Lord Of The Rings","Galadriel's Phial","The Mirror of Galadriel","The Palantir of Orthanc","Durin III","Durin III is the Dwarf King of Khazad-dûm."
"Durin IV","What Dwarf King of Khazad-dûm ruled during the time of Smaug's attack on Erebor?","Lord Of The Rings","The Hobbit","Durin IV","Thrain II","Dáin Ironfoot","Durin IV ruled during that time."
"Durin's Bane","What is the name of the fiery Balrog encountered by the Fellowship of the Ring in the Mines of Moria?","Lord Of The Rings","Boromir","Theoden","Shelob","Gondor","Durin's Bane is the name of the Balrog."
"Dwalin","Which dwarf from Thorin Oakenshield's company is known for his hooded cloak and large war-hammer?","Lord Of The Rings","The Prancing Pony Innkeeper","Glóin","Dwalin","Kili","Dwalin is known for his hooded cloak and war-hammer."
"Eagles","What majestic creatures come to the aid of Frodo and Sam in multiple instances during their journey?","Lord Of The Rings","Uruk-hai","Eagles","Elrond","Radagast the Brown","Eagles come to the aid of Frodo and Sam."
"Elendil","Who is the father of Isildur and Anárion and the last High King of Gondor?","Lord Of The Rings","Elendil","Arwen","Frodo's Journal","Smeagol","Elendil is the father of Isildur and Anárion."
"Elendil's Sword","What is the name of the sword that Aragorn wields, which originally belonged to Elendil, and it is reforged by the Elves and used by Aragorn as the symbol of his claim to the throne of Gondor?","Lord Of The Rings","Elendil's Sword","Isildur's Bane","The Last Debate","The Field of Cormallen","Elendil's Sword is an important weapon."
"Elrond","Who is the Lord of Rivendell and plays a key role in the Council of Elrond?","Lord Of The Rings","Uruk-hai","Eagles","Elrond","Radagast the Brown","Elrond is the Lord of Rivendell and a key figure in the Council of Elrond."
